Curve Name,Year,Quarter,Deal ID,Deal Name,Product Name,Instrument,Status,Buy/Sell,Strategy,Region ID,Group,Volume (MWh),Fixed Earnings,VW Fixed Rate,Floating Earnings,VW Floating Rate,TW Floating Price,Total Earnings
Demand Model (Mean),2026,3,1761,Energy Wagga Wagga Solar 202303,Energy Wagga Wagga Solar 202303,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa_lgc,7802.702348458456,-179462.15401454447,-22.999999999999996,175560.80284031527,22.5,22.5,-3901.351174229228
Demand Model (Mean),2025,2,2833,SE002258,BVM2025,Futures,Contracted,Sell,Portfolio Optimisation,VIC1,wholesale,10920.000008735875,1087632.0,99.59999992032114,-1266076.860594961,-115.94110435733646,115.94110435733508,-178444.86059496025
Demand Model (Mean),2025,1,1747,Consumption VIC1 Occupier Non-TOU,Consumption VIC1 Occupier Non-TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail,-0.000015382171794772147,0.0,-0.0,0.001419138346717465,-92.25864628555115,107.19669442809325,0.001419138346717465
Demand Model (Mean),2026,2,1745,Consumption VIC1 Bunnings TOU,Consumption VIC1 Bunnings TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,12996.77665535889,432142.823790683,33.24999999999999,-292427.474745575,-22.499999999999996,22.5,139715.349045108
Demand Model (Mean),2025,2,1740,Consumption SA1 St John's Grammar School TOU,Consumption SA1 St John's Grammar School TOU,Retail Customer,Contracted,Sell,Sale to Retail,SA1,retail,125.33106797849267,7591.850283924353,60.5743684018327,-17463.88846176254,-139.34205415659122,129.36700085408174,-9872.038177838189
Demand Model (Mean),2026,2,1760,Energy Tailem Bend 2 Solar 202203,Energy Tailem Bend 2 Solar 202203,Intermittent Generator,Contracted,Buy,SA Renewable Retailer,SA1,ppa,36386.94026596049,-3239178.238399987,-89.02035221219731,1694422.5209127103,46.566776665687954,123.52634173471228,-1544755.7174872882
Demand Model (Mean),2025,2,2281,Consumption VIC1 SBS TOU,Consumption VIC1 SBS TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail,108.60202778856751,9703.126454709001,89.3457208147125,-12492.698631387437,-115.0319094935218,115.94110435733505,-2789.5721766784404
Demand Model (Mean),2025,2,2447,SE001902,BVM2025,Futures,Contracted,Buy,Portfolio Optimisation,VIC1,wholesale,2183.999991263982,-206933.99126400054,-94.74999637900102,253215.37090355845,115.9411043573361,115.94110435733509,46281.37963955826
Demand Model (Mean),2026,4,2860,H002563,Q426 NSW TFS Solar,Swap,Hypothetical,Sell,Value Solar,NSW1,wholesale,14538.9625,625175.3875,43.0,-1049620.1906125506,-72.19361014326508,112.93675984433618,-424444.8031125507
Demand Model (Mean),2026,1,1805,Energy Waubra Wind 202401,Energy Waubra Wind 202401,Wind Farm,Contracted,Buy,SA Renewable Retailer,VIC1,ppa,56463.577884000806,-4093643.27473679,-72.50060000000002,3360274.508146378,59.5122490298038,85.14048030569757,-733368.766590411
Demand Model (Mean),2026,4,1756,Energy Mortons Lane Wind 202212,Energy Mortons Lane Wind 202212,Wind Farm,Contracted,Buy,VIC Renewable Retailer,VIC1,ppa_lgc,14758.66555279444,-413242.63547824434,-28.0,332069.9749378749,22.499999999999996,22.5,-81172.66054036943
Demand Model (Mean),2026,3,1758,Energy Nyngan Solar 202212,Energy Nyngan Solar 202212,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa_lgc,2607.855062987452,-65196.376574686285,-24.999999999999993,58676.73891721767,22.5,22.5,-6519.63765746863
Demand Model (Mean),2025,4,1741,Consumption SA1 Sundrop Farms TOU,Consumption SA1 Sundrop Farms TOU,Retail Customer,Contracted,Sell,Sale to Retail,SA1,retail,5497.950278349813,528828.0785965135,96.18640617376391,-312990.2959732259,-56.92854247986554,67.73660272863151,215837.78262328779
Demand Model (Mean),2025,2,1994,Energy Collector Wind 202403,Energy Collector Wind 202403,Wind Farm,Contracted,Buy,NSW Renewable Retailer,NSW1,ppa,26271.859846431762,-2306800.6538159414,-87.80500000000002,3026708.190634865,115.20722964902508,142.18998657526168,719907.5368189235
Demand Model (Mean),2025,4,1707,Consumption NSW1 CSIRO TOU,Consumption NSW1 CSIRO TOU,Retail Customer,Contracted,Sell,NSW Renewable Retailer,NSW1,retail,8943.226298526813,689101.1890051417,77.05286280395867,-995396.0174891324,-111.30166947168725,112.38251988926031,-306294.8284839905
Demand Model (Mean),2026,2,2649,Consumption SA1 KMART&TARGET TOU,Consumption SA1 KMART&TARGET TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail,1149.0630420221864,121151.29646693956,105.43485608390174,-144103.02288842635,-125.40915303900616,123.56244634791692,-22951.726421486816
Demand Model (Mean),2025,2,1736,Consumption SA1 SAHMRI TOU,Consumption SA1 SAHMRI TOU,Retail Customer,Contracted,Sell,Sale to Retail,SA1,retail,1704.515611990356,170399.72573517574,99.96958932878336,-219141.31369377952,-128.5651549051458,129.36700085408174,-48741.587958603785
Demand Model (Mean),2025,2,1915,SE001510,BSM2025,Futures,Contracted,Buy,Portfolio Optimisation,SA1,wholesale,0.0,-0.0,NaN,0.0,NaN,129.3296521630493,0.0
Demand Model (Mean),2025,3,2218,SE001690,BNU2025,Futures,Contracted,Buy,Option Book,NSW1,wholesale,0.0,-0.0,NaN,0.0,NaN,131.30843582312164,0.0
Demand Model (Mean),2026,1,2419,Energy Gunnedah Solar 202407,Energy Gunnedah Solar 202407,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,2410.4350033953183,-134984.36019013784,-56.00000000000001,203162.81109124704,84.28470828090101,122.83496462488715,68178.45090110922
Demand Model (Mean),2026,2,2421,Energy Temora Solar 202407,Energy Temora Solar 202407,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,1613.5429835367574,-91514.40960847828,-56.71643739411639,81079.57104108413,50.24940263033103,134.56755009494512,-10434.838567394152
Demand Model (Mean),2025,1,2844,SE002269,VIC Cap March 2025,Standard Cap,Contracted,Buy,Structuring,VIC1,wholesale,1.5,-9.6,-6.3999999999999995,0.0,0.0,107.19669442809325,-9.6
Demand Model (Mean),2026,2,1994,Energy Collector Wind 202403,Energy Collector Wind 202403,Wind Farm,Contracted,Buy,NSW Renewable Retailer,NSW1,ppa_lgc,25925.72767704621,-388885.91515569313,-15.0,583328.8727335397,22.5,22.5,194442.95757784657
Demand Model (Mean),2025,2,1745,Consumption VIC1 Bunnings TOU,Consumption VIC1 Bunnings TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,12996.776655358884,489068.70554115495,37.63000000000001,-336616.5153737951,-25.900000000000002,25.899999999999995,152452.19016735975
Demand Model (Mean),2025,1,1708,Consumption NSW1 Fairfield Non-TOU,Consumption NSW1 Fairfield Non-TOU,Retail Customer,Contracted,Sell,NSW Renewable Retailer,NSW1,retail_lgc,0.02611939849853516,0.7639924060821534,29.249999999999996,-0.6764924211120605,-25.899999999999995,25.9,0.08749998497009277
Demand Model (Mean),2026,4,1717,Consumption SA1 Adelaide Metro Non-TOU,Consumption SA1 Adelaide Metro Non-TOU,Retail Customer,Contracted,Sell,Sale to Retail,SA1,retail,1266.0695398093858,119643.57151198699,94.50000000000003,-82212.61998838538,-64.93531153175282,67.14129386313313,37430.95152360159
Demand Model (Mean),2026,1,2420,Energy Kootingal Solar 202407,Energy Kootingal Solar 202407,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,2410.435003395318,-134984.36019013784,-56.00000000000002,203162.81109124701,84.28470828090101,122.83496462488716,68178.45090110922
Demand Model (Mean),2025,1,2801,SE002234,GVH2025,$300 Cap,Contracted,Sell,VIC Renewable Retailer,VIC1,wholesale,0.166666667,3.666666999999999,22.00000195599999,-0.0,-0.0,107.19669442809325,3.666666999999999
Demand Model (Mean),2025,1,1751,Export VIC1 CSIRO Non-TOU,Export VIC1 CSIRO Non-TOU,Retail Customer,Contracted,Sell,Sale to Retail,VIC1,retail,-0.000010576209286227822,-0.0003701673250179739,35.00000000000001,0.0011528844752496858,-109.00734318400397,107.19669442809325,0.0007827171502317116
Demand Model (Mean),2025,2,2196,SE001668,BVM2025,Futures,Contracted,Sell,Portfolio Optimisation,VIC1,wholesale,0.0,0.0,NaN,-0.0,NaN,115.94110435733506,0.0
Demand Model (Mean),2026,1,2712,Energy Hay Solar 202409,Energy Hay Solar 2024,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,2410.435003395318,-134984.36019013784,-56.00000000000002,203162.81109124701,84.28470828090101,122.83496462488715,68178.45090110922
Demand Model (Mean),2025,2,1756,Energy Mortons Lane Wind 202212,Energy Mortons Lane Wind 202212,Wind Farm,Contracted,Buy,VIC Renewable Retailer,VIC1,ppa_lgc,14854.44310862783,-415924.40704157925,-28.000000000000004,384730.0765134608,25.9,25.899999999999974,-31194.33052811844
Demand Model (Mean),2026,4,1761,Energy Wagga Wagga Solar 202303,Energy Wagga Wagga Solar 202303,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa_lgc,10458.534101585354,-240546.2843364631,-22.999999999999996,235317.01728567044,22.5,22.5,-5229.267050792677
Demand Model (Mean),2025,2,1739,Consumption SA1 St John Ambulance Non-TOU,Consumption SA1 St John Ambulance Non-TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail,39.35054866947234,3541.5493802525107,90.0,-4879.006643073441,-123.98827482826213,129.32965216304933,-1337.4572628209316
