Curve Name,Year,Quarter,Deal ID,Deal Name,Product Name,Instrument,Status,Buy/Sell,Strategy,Region ID,Group,Volume (MWh),Fixed Earnings,VW Fixed Rate,Floating Earnings,VW Floating Rate,TW Floating Price,Total Earnings
Demand Model (50% Cap),2026,2,1735,Consumption SA1 SACOME TOU,Consumption SA1 SACOME TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,5974.414207102677,227027.7398699017,37.99999999999999,-134424.31965981022,-22.499999999999996,22.5,92603.42021009146
Demand Model (50% Cap),2026,4,2706,Energy Kerang Solar 202408,Energy Kerang Solar 202408,Intermittent Generator,Contracted,Buy,Value Solar,VIC1,ppa_lgc,20364.6794430019,-305470.1916450284,-14.999999999999996,458205.2874675427,22.499999999999996,22.5,152735.0958225142
Demand Model (50% Cap),2025,4,2281,Consumption VIC1 SBS TOU,Consumption VIC1 SBS TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail_lgc,111.40144821728866,5336.129369608127,47.9,-2885.2975088277763,-25.9,25.9,2450.831860780351
Demand Model (50% Cap),2026,4,2237,SE001709,GSZ2026,$300 Cap,Contracted,Buy,SA Renewable Retailer,SA1,wholesale,4397.1722310165915,-72773.19148343317,-16.549997966899873,36776.566740219794,8.363685752585894,56.450651934698804,-35996.62474321339
Demand Model (50% Cap),2025,4,1731,Consumption SA1 SA Government Non-TOU,Consumption SA1 SA Government Non-TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,VIC1,retail_lgc,1.4296419740021535,11.437135792017228,8.0,-37.02772712665578,-25.900000000000006,25.89999999999999,-25.59059133463855
Demand Model (50% Cap),2026,2,2608,Consumption VIC1 Villa Maria TOU,Consumption VIC1 Villa Maria TOU,Retail Customer,Contracted,Sell,VIC Renewable Retailer,VIC1,retail,2057.649911634636,149396.24038950558,72.60527631292847,-220289.73975843063,-107.05890176596091,103.36381299604815,-70893.49936892501
Demand Model (50% Cap),2026,2,2714,Energy Hillston 1 Solar 202409,Energy Hillston 1 Solar 202409,Intermittent Generator,Contracted,Buy,Value Solar,NSW1,ppa,23110.43028258281,-1294184.0958246377,-56.000000000000014,1079190.81904118,46.697132240524006,119.37286145025647,-214993.27678345767
Demand Model (50% Cap),2025,4,1739,Consumption SA1 St John Ambulance Non-TOU,Consumption SA1 St John Ambulance Non-TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,35.58151812920173,773.8980193101378,21.750000000000004,-921.5613195463249,-25.9,25.899999999999995,-147.6633002361872
Demand Model (50% Cap),2026,1,2649,Consumption SA1 KMART&TARGET TOU,Consumption SA1 KMART&TARGET TOU,Retail Customer,Contracted,Sell,SA Renewable Retailer,SA1,retail_lgc,1234.3185366993566,42583.98951612782,34.500000000000014,-27772.167075735528,-22.500000000000004,22.5,14811.822440392283
Demand Model (50% Cap),2026,1,2746,Energy New England Solar 202412,Energy New England Solar 20241,Intermittent Generator,Hypothetical,Buy,BOQ Strategic,NSW1,ppa_lgc,55798.61966846184,-1372646.043844161,-24.599999999999998,1255468.9425403913,22.5,22.5,-117177.10130376984
Demand Model (50% Cap),2025,2,2896,H002593,GVM2025,$300 Cap,Hypothetical,Buy,Value Solar,VIC1,wholesale,163800.0,-2232594.0,-13.63,926340.0,5.655311355311356,107.99641571264641,-1306254.0
Demand Model (50% Cap),2025,2,2722,SE002161,BVM2025,Futures,Contracted,Sell,Portfolio Optimisation,VIC1,wholesale,4368.000008736025,449904.00873600336,103.00000179400018,-471728.3447762962,-107.99641571264578,107.99641571264642,-21824.33604029621
Demand Model (50% Cap),2026,3,1991,Energy Starfish Hill Wind 202403,Energy Starfish Hill Wind 202403,Wind Farm,Contracted,Buy,SA Renewable Retailer,SA1,ppa,21319.872645090167,-1636496.3683390075,-76.7592000000001,1349369.1218926727,63.291612682471815,98.66279527279026,-287127.24644633324
Demand Model (50% Cap),2026,3,2706,Energy Kerang Solar 202408,Energy Kerang Solar 202408,Intermittent Generator,Contracted,Buy,Value Solar,VIC1,ppa,13527.78652255853,-693299.0592811246,-51.24999999999999,626596.1989441052,46.31919626312939,88.42396467762366,-66702.86033701952
